category,code,description,unit,budget_quantity
Instrumentation_&_Control,INS.031,Pressure gauge 100mm dial - South Battery,each,14
Electrical,ELC.031,HV switchgear panel 11kV - Train 1,each,3
Mechanical_Equipment,MCH.027,Shell and tube heat exchanger - Train 2,each,2
Buildings_&_Facilities,BLD.021,Substation building 8m x 5m - Slug Catcher Area,each,5
Steel_Structures,STL.023,Miscellaneous steelwork - Area C,ton,4
Utilities,UTL.021,Diesel fuel storage tank 10m3 - Train 1,each,3
Electrical,ELC.032,Conduit GI 25mm - Train 1,m,1125
Concrete_Works,CON.021,Reinforced concrete foundation - Wellpad 1,m3,539
Concrete_Works,CON.022,Lean concrete blinding 50mm - Wellpad 3,m3,23
Mechanical_Equipment,MCH.028,Centrifugal pump 200m3/h - Area D,each,5
Buildings_&_Facilities,BLD.022,Roof sheeting Colorbond 0.42mm - Slug Catcher Area,m2,1151
Piping,PIP.041,CS flange RFWN 8in 300lb CS - North Battery,each,133
Piping,PIP.042,Spring hanger variable 4in - Slug Catcher Area,each,3
Electrical,ELC.033,HV switchgear panel 11kV - Slug Catcher Area,each,3
Mechanical_Equipment,MCH.029,Centrifugal pump 200m3/h - South Battery,each,3
Utilities,UTL.022,Spill kit trolley large - Area D,each,16
Civil_&_Earthworks,CEW.022,Slope stabilisation shotcrete - Utilities Area,m2,962
Fire_Protection,FPS.021,Deluge valve station 6in - Wellpad 3,each,1
Valves,VLV.027,Control valve 6in pneumatic - North Battery,each,2
Piping,PIP.043,HDPE pipe DN110 SDR11 - Manifold Area,m,684
Concrete_Works,CON.023,Rebar supply and fix 32mm - South Battery,ton,77
Insulation_&_Painting,INL.016,Topcoat polyurethane 50 micron - Manifold Area,m2,2491
HVAC,HVC.016,Volume control damper 600x400 - Wellpad 2,each,44
Steel_Structures,STL.024,Steel access platform - South Battery,m2,108
Mechanical_Equipment,MCH.030,Plate heat exchanger - Area B,each,4
Instrumentation_&_Control,INS.032,Multicore instrument cable 16P - Wellpad 3,m,1541
Storage_Tanks,TNK.021,Tank internal floating roof - Slug Catcher Area,each,2
Insulation_&_Painting,INL.017,Fireproofing intumescent 2hr - Area D,m2,71
Buildings_&_Facilities,BLD.023,Amenity building 50 person - Train 3,each,1
HSE_&_Safety,HSE.016,First aid cabinet wall mount - Slug Catcher Area,each,5
HVAC,HVC.017,Exhaust fan centrifugal 5000 m3/h - Train 3,each,3
Concrete_Works,CON.024,Rebar supply and fix 32mm - Wellpad 2,ton,102
Commissioning_&_Testing,COM.021,Commissioning spare parts kit - Area D,lot,6
Storage_Tanks,TNK.022,Floating roof tank 10000m3 - Wellpad 1,each,1
Storage_Tanks,TNK.023,Tank heating coil - Manifold Area,m,65
Buildings_&_Facilities,BLD.024,Guard house 4m x 4m - Train 1,each,0
Utilities,UTL.023,Instrument air compressor 10 bar - Manifold Area,each,3
Piping,PIP.044,Pipe support guide CS 8in - Wellpad 1,each,154
Civil_&_Earthworks,CEW.023,Topsoil strip and stockpile - Wellpad 1,m3,1111
Instrumentation_&_Control,INS.033,Flame detector UV IR dual - Wellpad 2,each,72
Instrumentation_&_Control,INS.034,Instrument valve manifold 3-way - Train 3,each,96
Piping,PIP.045,Gasket spiral wound 6in 150lb - Area C,each,148
Commissioning_&_Testing,COM.022,Commissioning spare parts kit - Wellpad 2,lot,2
Valves,VLV.028,Needle valve half-in SS316 - Wellpad 1,each,16
Valves,VLV.029,Gate valve 4in 150lb CS RF - Train 1,each,19
Mechanical_Equipment,MCH.031,Centrifugal pump 50m3/h - Utilities Area,each,10
Concrete_Works,CON.025,Expansion joint 20mm - Export Pump Area,m,204
Commissioning_&_Testing,COM.023,Pneumatic leak test 2in - Train 3,m,657
Electrical,ELC.034,Lighting luminaire LED 250W - Utilities Area,each,18
Piping,PIP.046,CS reducer 6x4in BW - Area A,each,73
Steel_Structures,STL.025,Davit arm for maintenance - Slug Catcher Area,each,13
Utilities,UTL.024,Overhead crane 5 ton EOT - Export Pump Area,each,2
Mechanical_Equipment,MCH.032,Centrifugal pump 200m3/h - Area D,each,5
Fire_Protection,FPS.022,Foam system fixed roof tank - Wellpad 2,each,2
Instrumentation_&_Control,INS.035,Instrument valve manifold 3-way - Slug Catcher Area,each,126
Buildings_&_Facilities,BLD.025,Modular office building 10m x 6m - Export Pump Area,each,1
Fire_Protection,FPS.023,Heat detector rate of rise - Export Pump Area,each,15
Mechanical_Equipment,MCH.033,Centrifugal pump 100m3/h - South Battery,each,6
HVAC,HVC.018,Air handling unit 20000 m3/h - Utilities Area,each,2
Mechanical_Equipment,MCH.034,Pig receiver DN200 - Export Pump Area,each,3
Mechanical_Equipment,MCH.035,Sample point connection - North Battery,each,40
Storage_Tanks,TNK.024,Tank level gauge mechanical - Area C,each,5
Valves,VLV.030,Safety relief valve 4in set - Manifold Area,each,8
HSE_&_Safety,HSE.017,Safety sign photoluminescent - Train 3,each,78
Instrumentation_&_Control,INS.036,Temperature transmitter PT100 - Wellpad 2,each,116
Instrumentation_&_Control,INS.037,Flow meter ultrasonic 6in - Area B,each,6
Instrumentation_&_Control,INS.038,Thermowell SS316 half-in NPT - Manifold Area,each,94
Buildings_&_Facilities,BLD.026,Kitchen equipment commercial - Area A,lot,2
Buildings_&_Facilities,BLD.027,Toilet and ablution block - Manifold Area,each,1
Electrical,ELC.035,Variable speed drive 160kW - Wellpad 1,each,1
Instrumentation_&_Control,INS.039,Orifice plate and flanges 4in - North Battery,each,16
Mechanical_Equipment,MCH.036,Pig launcher DN200 - Slug Catcher Area,each,1
Electrical,ELC.036,Socket outlet 16A EX-proof - Wellpad 2,each,75
Instrumentation_&_Control,INS.040,Differential pressure transmitter - Train 2,each,58
Piping,PIP.047,CS pipe 12in SCH40 seamless - Area A,m,581
Telecommunications,TEL.022,CCTV camera IP fixed dome - Area A,each,39
Instrumentation_&_Control,INS.041,Gas detector open path IR - Train 1,each,27
Piping,PIP.048,Pipe spool fabrication CS 6in - Area B,m,148
Storage_Tanks,TNK.025,Tank heating coil - Train 3,m,52
Electrical,ELC.037,LV switchboard MCC 415V - Manifold Area,each,2
Instrumentation_&_Control,INS.042,Thermowell SS316 half-in NPT - South Battery,each,89
Fire_Protection,FPS.024,Jockey pump electric 10m3/h - Area A,each,2
Concrete_Works,CON.026,Concrete wall 250mm - Wellpad 3,m3,169
Concrete_Works,CON.027,Rebar supply and fix 32mm - Area B,ton,114
Mechanical_Equipment,MCH.037,Centrifugal pump 100m3/h - Train 3,each,6
Telecommunications,TEL.023,Fibre optic splice closure - Train 1,each,27
Fire_Protection,FPS.025,Smoke detector optical ATEX - Area D,each,78
Valves,VLV.031,Globe valve 2in 150lb CS RF - Export Pump Area,each,7
Electrical,ELC.038,Cable ladder 600mm galvanised - Train 2,m,1049
HSE_&_Safety,HSE.018,Speed bump rubber 1.8m - Area D,each,20
Piping,PIP.049,CS studbolt set 4in 150lb - Wellpad 1,set,71
Civil_&_Earthworks,CEW.024,Temporary site hoarding 2m - Wellpad 1,m,71
Electrical,ELC.039,Terminal box 20-way IP65 - Manifold Area,each,96
Valves,VLV.032,Gate valve 4in 150lb CS RF - Area C,each,40
Commissioning_&_Testing,COM.024,Hydrostatic pressure test 8in - North Battery,m,29
Storage_Tanks,TNK.026,Tank shell plate 10mm CS - Area D,ton,465
Buildings_&_Facilities,BLD.028,Suspended ceiling grid 600x600 - Area B,m2,250
Instrumentation_&_Control,INS.043,Gas detector open path IR - Wellpad 3,each,11
Commissioning_&_Testing,COM.025,ESD valve stroke test - Wellpad 2,each,21
Instrumentation_&_Control,INS.044,Thermowell SS316 half-in NPT - Utilities Area,each,40
Electrical,ELC.040,Control cable 4C x 2.5mm2 - Export Pump Area,m,1303
Instrumentation_&_Control,INS.045,Multicore instrument cable 16P - Train 2,m,1548
Commissioning_&_Testing,COM.026,Pump performance test site - South Battery,each,11
HVAC,HVC.019,Exhaust fan centrifugal 5000 m3/h - Utilities Area,each,3
HSE_&_Safety,HSE.019,Vibration isolation pad pump - South Battery,each,14
Mechanical_Equipment,MCH.038,Centrifugal pump 50m3/h - Area C,each,7
Fire_Protection,FPS.026,Firewater ring main 6in CS - North Battery,m,235
Buildings_&_Facilities,BLD.029,Hollow core door 900x2100 - Manifold Area,each,24
Insulation_&_Painting,INL.018,Thermal insulation rockwool 75mm - Wellpad 2,m2,987
Valves,VLV.033,Check valve 4in 150lb CS RF - Wellpad 3,each,28
Electrical,ELC.041,Distribution transformer 250kVA - South Battery,each,4
Utilities,UTL.025,Spill kit trolley large - South Battery,each,20
Insulation_&_Painting,INL.019,Valve and fitting insulation - Train 3,each,21
HSE_&_Safety,HSE.020,Convex safety mirror 800mm - Slug Catcher Area,each,10
Valves,VLV.034,Valve position indicator - Utilities Area,each,19
Insulation_&_Painting,INL.020,Personnel protection insulation 4in - Export Pump Area,m2,188
Steel_Structures,STL.026,Steel staircase - Wellpad 1,each,8
Utilities,UTL.026,Fuel transfer pump 2 m3/h - North Battery,each,0
Buildings_&_Facilities,BLD.030,Painting interior emulsion - Wellpad 3,m2,874
HVAC,HVC.020,Supply air diffuser 600x600 - Wellpad 3,each,54
Buildings_&_Facilities,BLD.031,Control room building structure - Wellpad 2,each,2
Fire_Protection,FPS.027,Fire hydrant pillar type - South Battery,each,3
Valves,VLV.035,Safety relief valve 4in set - Area D,each,8
Storage_Tanks,TNK.027,Tank foam system - Area D,each,4
Utilities,UTL.027,Diesel fuel storage tank 10m3 - Train 2,each,2
Fire_Protection,FPS.028,Portable dry powder extinguisher 9kg - South Battery,each,44
HVAC,HVC.021,Package AC unit 50kW - Wellpad 1,each,13
Piping,PIP.050,HDPE pipe DN200 SDR11 - Wellpad 1,m,437
Piping,PIP.051,Flexible hose SS 2in 600mm - Wellpad 1,each,20
HVAC,HVC.022,Fire damper 600x400 - Train 1,each,14
Concrete_Works,CON.028,Precast concrete plank - Wellpad 1,m2,1199
Piping,PIP.052,CS pipe 10in SCH40 seamless - Utilities Area,m,724
Civil_&_Earthworks,CEW.025,Asphalt paving 75mm - Wellpad 1,m2,1398
Instrumentation_&_Control,INS.046,Impulse line SS quarter-in OD - Wellpad 2,m,133
Concrete_Works,CON.029,Concrete wall 250mm - South Battery,m3,337
Fire_Protection,FPS.029,Manual call point weatherproof - Area D,each,103
Instrumentation_&_Control,INS.047,Field control station FCS - Utilities Area,each,2
Commissioning_&_Testing,COM.027,Pneumatic leak test 2in - Area B,m,351
Buildings_&_Facilities,BLD.032,Raised access flooring 600x600 - Wellpad 1,m2,174
Mechanical_Equipment,MCH.039,Centrifugal pump 200m3/h - Area D,each,6
Instrumentation_&_Control,INS.048,Flow meter turbine 2in - North Battery,each,6
Electrical,ELC.042,Earth rod 20mm x 2m copper - Export Pump Area,each,18
Storage_Tanks,TNK.028,Atmospheric storage tank 5000m3 - Slug Catcher Area,each,2
Telecommunications,TEL.024,Network UPS 6kVA - Area B,each,4
Steel_Structures,STL.027,Structural steel fabrication - Train 3,ton,476
Mechanical_Equipment,MCH.040,Plate heat exchanger - Area C,each,5
Piping,PIP.053,Pipe support shoe CS 6in - Area C,each,235
Instrumentation_&_Control,INS.049,Level transmitter guided wave - Export Pump Area,each,61
Fire_Protection,FPS.030,Jockey pump electric 10m3/h - Wellpad 1,each,1
Mechanical_Equipment,MCH.041,Inline strainer Y-type 4in - Wellpad 1,each,25
Fire_Protection,FPS.031,Fire hydrant pillar type - Area C,each,4
Mechanical_Equipment,MCH.042,Plate heat exchanger - Train 3,each,7
HVAC,HVC.023,Chilled water pipe 4in insulated - North Battery,m,496
Mechanical_Equipment,MCH.043,Vertical pressure vessel - Train 1,each,0
Piping,PIP.054,CS studbolt set 6in 150lb - Wellpad 1,set,198
Buildings_&_Facilities,BLD.033,Hollow core door 900x2100 - Wellpad 1,each,27
Fire_Protection,FPS.032,Firewater pump diesel 500m3/h - Wellpad 1,each,3
Mechanical_Equipment,MCH.044,Pig launcher DN200 - Utilities Area,each,1
Telecommunications,TEL.025,Network switch 24 port managed - Area B,each,6
Storage_Tanks,TNK.029,Bund lining HDPE membrane - South Battery,m2,619
Valves,VLV.036,Safety relief valve 2in set - Area A,each,23
Utilities,UTL.028,Potable water treatment package - South Battery,each,3
Piping,PIP.055,Pipe support guide CS 8in - Utilities Area,each,173
Instrumentation_&_Control,INS.050,Instrument valve manifold 3-way - South Battery,each,64
Buildings_&_Facilities,BLD.034,Kitchen equipment commercial - Slug Catcher Area,lot,2
Insulation_&_Painting,INL.021,Personnel protection insulation 4in - Area C,m2,141
Instrumentation_&_Control,INS.051,Level transmitter guided wave - Wellpad 2,each,42
Steel_Structures,STL.028,Steel monorail beam - Train 2,m,105
Utilities,UTL.029,Chemical storage area bunded - Utilities Area,each,0
Instrumentation_&_Control,INS.052,Field control station FCS - Area B,each,3
Storage_Tanks,TNK.030,Tank foam system - South Battery,each,3
Instrumentation_&_Control,INS.053,Pressure transmitter HART - Area A,each,222
HVAC,HVC.024,Pressurisation fan 2000 m3/h - Export Pump Area,each,7
Piping,PIP.056,Piping hydrostatic test 6in - Wellpad 3,m,209
Insulation_&_Painting,INL.022,Insulation cladding SS 0.5mm - Export Pump Area,m2,519
Valves,VLV.037,Gate valve 10in 300lb CS RF - South Battery,each,14
Mechanical_Equipment,MCH.045,Inline strainer Y-type 4in - Export Pump Area,each,28
Fire_Protection,FPS.033,Wheeled CO2 extinguisher 25kg - Area D,each,4
Commissioning_&_Testing,COM.028,Pneumatic leak test 2in - North Battery,m,653
Storage_Tanks,TNK.031,Tank manway 600mm - Area A,each,2
Steel_Structures,STL.029,Steel staircase - North Battery,each,17
Steel_Structures,STL.030,Steel coaming 150mm - Export Pump Area,m,437
Commissioning_&_Testing,COM.029,ESD valve stroke test - Train 1,each,40
HSE_&_Safety,HSE.021,Muster point assembly sign - Wellpad 1,each,5
Mechanical_Equipment,MCH.046,Pig launcher DN200 - Slug Catcher Area,each,2
Fire_Protection,FPS.034,Fire alarm control panel - North Battery,each,1
Piping,PIP.057,CS tee equal 6in BW - Manifold Area,each,11
Telecommunications,TEL.026,Network switch 24 port managed - Train 1,each,6
Mechanical_Equipment,MCH.047,Crude oil booster pump - Slug Catcher Area,each,1
Insulation_&_Painting,INL.023,Mid coat epoxy 80 micron - South Battery,m2,1831
Mechanical_Equipment,MCH.048,Metering skid package - Wellpad 1,each,1
Buildings_&_Facilities,BLD.035,Floor tiling ceramic 300x300 - Utilities Area,m2,69
Instrumentation_&_Control,INS.054,Junction box instrument ATEX - Utilities Area,each,10
Buildings_&_Facilities,BLD.036,Substation building 8m x 5m - Manifold Area,each,4
Storage_Tanks,TNK.032,Tank staircase and platform - Train 3,each,1
Valves,VLV.038,Valve actuator electric 6in - Manifold Area,each,2
Instrumentation_&_Control,INS.055,Level gauge magnetic reflex - Area B,each,26
Fire_Protection,FPS.035,Smoke detector optical ATEX - Manifold Area,each,65
Commissioning_&_Testing,COM.030,Commissioning spare parts kit - Train 1,lot,4
Civil_&_Earthworks,CEW.026,Retaining wall mass concrete - Train 1,m3,308
Telecommunications,TEL.027,CCTV camera IP PTZ outdoor - Wellpad 2,each,50
Instrumentation_&_Control,INS.056,Impulse line SS quarter-in OD - Area D,m,200
Fire_Protection,FPS.036,Hose reel cabinet SS - Area A,each,35
Instrumentation_&_Control,INS.057,Level transmitter guided wave - Train 1,each,29
Mechanical_Equipment,MCH.049,Plate heat exchanger - Wellpad 2,each,8
Instrumentation_&_Control,INS.058,Safety PLC system SIL2 - Area C,lot,2
Utilities,UTL.030,Potable water storage tank 50m3 - Manifold Area,each,4
Commissioning_&_Testing,COM.031,Hydrostatic pressure test 6in - Utilities Area,m,137
Civil_&_Earthworks,CEW.027,Retaining wall mass concrete - Area C,m3,226
Utilities,UTL.031,Closed drain sump and pump - Wellpad 1,each,8
Steel_Structures,STL.031,Handrail and kickplate - Slug Catcher Area,m,1160
Commissioning_&_Testing,COM.032,Ultrasonic examination weld - Area D,each,108
Utilities,UTL.032,Chemical storage area bunded - Wellpad 1,each,1
Concrete_Works,CON.030,Concrete slab on grade 200mm - Wellpad 2,m3,2029
Storage_Tanks,TNK.033,Atmospheric storage tank 500m3 - Wellpad 3,each,2
Piping,PIP.058,CS tee equal 6in BW - North Battery,each,17
Buildings_&_Facilities,BLD.037,Suspended ceiling grid 600x600 - Train 2,m2,198
Steel_Structures,STL.032,Primary steel columns HD section - Manifold Area,ton,67
Valves,VLV.039,Valve position indicator - Utilities Area,each,24
Piping,PIP.059,CS tee equal 4in BW - North Battery,each,32
Mechanical_Equipment,MCH.050,Gear pump chemical dosing - Export Pump Area,each,11
Civil_&_Earthworks,CEW.028,Gravel sub-base 300mm thick - Export Pump Area,m2,6322
Utilities,UTL.033,Water well pump submersible - Train 2,each,1
Electrical,ELC.043,UPS system 30kVA - Wellpad 1,each,5
Instrumentation_&_Control,INS.059,Local indicator temperature - South Battery,each,91
Storage_Tanks,TNK.034,Tank shell plate 10mm CS - Train 3,ton,538
Fire_Protection,FPS.037,Portable dry powder extinguisher 9kg - Area D,each,26
Buildings_&_Facilities,BLD.038,Fire door 90min 900x2100 - Wellpad 3,each,15
Utilities,UTL.034,Eyewash and shower station - Wellpad 1,each,2
Commissioning_&_Testing,COM.033,Tank calibration and strapping - Manifold Area,each,3
Buildings_&_Facilities,BLD.039,Suspended ceiling grid 600x600 - Area B,m2,417
Insulation_&_Painting,INL.024,Insulation cladding aluminium 0.9mm - Wellpad 1,m2,2379
Valves,VLV.040,Safety relief valve 2in set - Wellpad 3,each,11
Piping,PIP.060,Piping flushing and cleaning - South Battery,lot,9
HSE_&_Safety,HSE.022,Welfare container 20ft fitted - Train 1,each,2
Commissioning_&_Testing,COM.034,Hydrostatic pressure test 8in - Area B,m,39
Instrumentation_&_Control,INS.060,Impulse line SS quarter-in OD - Area B,m,210
HSE_&_Safety,HSE.023,Vibration isolation pad pump - Train 1,each,10
Storage_Tanks,TNK.035,Atmospheric storage tank 1000m3 - Wellpad 2,each,1
Piping,PIP.061,Pipe support guide CS 8in - Train 3,each,107
HVAC,HVC.025,Extract fan ATEX zone 1 - Wellpad 3,each,2
Mechanical_Equipment,MCH.051,Pig launcher DN200 - Train 2,each,1
Fire_Protection,FPS.038,Portable CO2 extinguisher 5kg - Wellpad 1,each,81
Electrical,ELC.044,Power transformer 11kV to 415V - Area D,each,2
Concrete_Works,CON.031,Waterstop PVC 200mm - Train 1,m,203
Valves,VLV.041,Control valve 4in pneumatic - Manifold Area,each,16
Buildings_&_Facilities,BLD.040,Warehouse building 30m x 15m - Wellpad 3,each,0
Instrumentation_&_Control,INS.061,DCS operator workstation - Area A,each,3
Piping,PIP.062,CS pipe 8in SCH40 seamless - Export Pump Area,m,1312
Utilities,UTL.035,Potable water treatment package - South Battery,each,3
Commissioning_&_Testing,COM.035,Dye penetrant inspection - Wellpad 3,each,197
Valves,VLV.042,Pressure regulator valve 2in - Utilities Area,each,7
Buildings_&_Facilities,BLD.041,Wall cladding sandwich panel 75mm - Wellpad 2,m2,1319
Valves,VLV.043,Butterfly valve 8in 150lb CS - Area C,each,21
Fire_Protection,FPS.039,Foam system fixed roof tank - Wellpad 1,each,2
Steel_Structures,STL.033,Steel access platform - Train 1,m2,87
Civil_&_Earthworks,CEW.029,Slope stabilisation shotcrete - Wellpad 1,m2,1992
Steel_Structures,STL.034,Steel access platform - Area D,m2,117
HVAC,HVC.026,Exhaust fan centrifugal 5000 m3/h - Train 1,each,3
Electrical,ELC.045,Conduit GI 25mm - Slug Catcher Area,m,1316
HSE_&_Safety,HSE.024,Gas monitor personal 4-gas - Train 1,each,69
Commissioning_&_Testing,COM.036,Insulation resistance test cable - Area D,each,449
Telecommunications,TEL.028,Satellite VSAT terminal - Slug Catcher Area,each,1
Mechanical_Equipment,MCH.052,Emergency shutdown valve - Area B,each,17
Valves,VLV.044,Globe valve 2in 150lb CS RF - Export Pump Area,each,5
Valves,VLV.045,Needle valve half-in SS316 - Wellpad 3,each,13
Utilities,UTL.036,Open drain collection pit - Wellpad 3,each,5
Commissioning_&_Testing,COM.037,Functional test control valve - Wellpad 3,each,11
Mechanical_Equipment,MCH.053,Crude oil booster pump - Train 3,each,2
Fire_Protection,FPS.040,Fire hydrant pillar type - Area C,each,4
Commissioning_&_Testing,COM.038,Chemical cleaning and passivation - Area A,lot,1
Electrical,ELC.046,HV switchgear panel 11kV - North Battery,each,4
Buildings_&_Facilities,BLD.042,Suspended ceiling grid 600x600 - Train 3,m2,168
Buildings_&_Facilities,BLD.043,Guard house 4m x 4m - Train 3,each,1
Valves,VLV.046,Pressure regulator valve 2in - Wellpad 2,each,19
Telecommunications,TEL.029,CCTV monitor 32 inch - Area A,each,3
Piping,PIP.063,CS tee equal 6in BW - Train 1,each,17
Piping,PIP.064,Pipe support guide CS 8in - Area D,each,197
Civil_&_Earthworks,CEW.030,Temporary site hoarding 2m - Train 1,m,33
Valves,VLV.047,Valve actuator pneumatic 4in - Wellpad 2,each,2
Mechanical_Equipment,MCH.054,Plate heat exchanger - Area B,each,5
Instrumentation_&_Control,INS.062,Thermowell SS316 half-in NPT - Area D,each,83
Fire_Protection,FPS.041,Heat detector rate of rise - Export Pump Area,each,26
Insulation_&_Painting,INL.025,Fireproofing vermiculite 2hr - Area D,m2,243
Valves,VLV.048,Butterfly valve 8in 150lb CS - Area B,each,23
Commissioning_&_Testing,COM.039,Tank calibration and strapping - Wellpad 1,each,3
Civil_&_Earthworks,CEW.031,Site clearing and grubbing - Area B,ha,8
Instrumentation_&_Control,INS.063,Field control station FCS - Slug Catcher Area,each,4
Insulation_&_Painting,INL.026,Personnel protection insulation 4in - Export Pump Area,m2,83
Steel_Structures,STL.035,Primary steel beams UC section - Wellpad 2,ton,196
Concrete_Works,CON.032,Rebar supply and fix 16mm - Train 1,ton,4
Commissioning_&_Testing,COM.040,Ultrasonic examination weld - Wellpad 2,each,101
Telecommunications,TEL.030,CCTV monitor 32 inch - Wellpad 1,each,3
Telecommunications,TEL.031,Cat6 cable UTP 4 pair - Slug Catcher Area,m,2902
Utilities,UTL.037,Spill kit trolley large - Area D,each,25
Commissioning_&_Testing,COM.041,Pump performance test site - Train 3,each,9
Valves,VLV.049,Control valve 6in pneumatic - Slug Catcher Area,each,3
Fire_Protection,FPS.042,Fire hydrant pillar type - Manifold Area,each,3
Steel_Structures,STL.036,Ladder with cage - Wellpad 2,m,151
Utilities,UTL.038,Instrument air compressor 10 bar - South Battery,each,2
Piping,PIP.065,CS flange RFWN 6in 150lb CS - Utilities Area,each,97
Steel_Structures,STL.037,Steel bracing system - Area C,ton,5
Electrical,ELC.047,Conduit GI 50mm - Train 1,m,222
Telecommunications,TEL.032,PABX telephone system - Wellpad 2,lot,2
Instrumentation_&_Control,INS.064,Level gauge magnetic reflex - Wellpad 3,each,45
Instrumentation_&_Control,INS.065,Pressure gauge 100mm dial - Area B,each,38
Telecommunications,TEL.033,Fibre optic cable SM 12 core - Wellpad 1,m,1603
